application_id,cid,loan_product_id,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,debt_to_income_ratio,application_date,status
65311,258,9,325010,4.18,164,661,63138,0.53,2023-08-26,rejected
65312,2170,8,18708,5.53,228,602,66271,0.27,2022-11-22,rejected
65313,4385,15,260406,2.7,65,654,47946,0.59,2022-09-21,rejected
65314,3007,2,11468,6.61,40,667,70202,0.37,2022-10-14,approved
65315,9657,2,31090,7.81,27,659,59880,0.33,2023-05-12,approved
65316,3273,12,29369,8.1,18,634,29144,0.18,2022-12-02,rejected
65317,4819,16,485145,8.08,64,647,55104,0.35,2023-02-13,approved
65318,9283,9,673264,4.83,292,587,-3224,0.39,2023-12-21,rejected
65319,5282,13,2551,6.59,13,705,43666,0.42,2024-07-23,rejected
65320,6326,10,1072,14.17,16,679,8546,0.15,2024-03-04,approved
65321,7797,3,238202,3.99,188,729,72890,0.22,2023-09-11,approved
65322,6062,8,11803,6.0,87,734,70152,0.19,2024-02-22,approved
65323,6493,17,123838,8.03,33,708,50134,0.3,2022-04-13,rejected
65324,2936,18,49335,6.27,23,650,32618,0.44,2024-07-10,approved
65325,1964,5,177385,6.44,25,718,22651,0.24,2024-02-08,rejected
65326,3891,11,17133,6.86,49,595,65954,0.36,2024-06-20,rejected
65327,8629,1,10071,8.94,53,693,49129,0.38,2025-01-31,rejected
65328,7719,8,31745,6.26,125,663,35426,0.49,2022-04-07,rejected
65329,473,5,11405,10.63,67,670,39479,0.43,2023-03-11,approved
65330,3768,6,133598,6.64,73,669,57496,0.46,2024-01-05,rejected
65331,2933,6,25035,11.0,24,667,26771,0.42,2025-01-19,rejected
65332,6260,19,10328,7.7,6,809,56278,0.55,2024-08-04,approved
65333,5794,5,182157,7.04,46,713,92395,0.22,2023-03-21,approved
65334,7233,3,375891,4.53,214,652,97080,0.1,2023-08-04,approved
65335,5337,19,6671,7.44,19,713,38823,0.24,2024-03-24,approved
65336,351,7,114184,8.9,81,720,27092,0.5,2022-10-16,approved
65337,6046,10,3120,17.36,9,702,43176,0.16,2024-10-03,rejected
65338,294,13,4894,13.7,20,685,73213,0.43,2022-05-04,rejected
65339,1,4,36042,8.48,48,661,58849,0.31,2024-07-07,rejected
65340,7885,13,4874,7.36,15,573,4056,0.1,2022-05-29,rejected
65341,4715,8,33127,3.88,110,665,44018,0.27,2023-11-08,approved
65342,4570,17,131118,8.01,17,732,41542,0.55,2023-04-23,approved
65343,8733,11,6893,6.95,57,737,30578,0.37,2022-08-15,approved
65344,3213,9,440462,4.85,211,690,25041,0.6,2023-03-14,approved
65345,4708,19,8654,11.4,10,663,34527,0.21,2023-06-01,rejected
65346,682,14,4596,9.12,29,687,69336,0.43,2022-11-21,approved
65347,2003,18,46123,6.25,28,651,25465,0.59,2024-12-04,rejected
65348,3522,4,5534,4.85,58,689,52808,0.35,2024-03-18,rejected
65349,1907,13,8706,15.19,19,713,60006,0.35,2022-09-07,approved
65350,5996,15,103984,4.14,274,733,28919,0.55,2024-02-07,rejected
65351,989,2,20262,4.79,34,675,51105,0.19,2024-09-11,approved
65352,1127,13,2111,7.23,10,689,70676,0.12,2023-02-17,approved
65353,3596,12,39983,8.78,17,688,48462,0.26,2022-09-26,rejected
65354,8162,17,132750,8.82,40,724,46288,0.59,2022-08-26,approved
65355,6605,2,40547,6.84,54,644,38836,0.22,2022-10-12,rejected
65356,5225,4,9287,9.87,27,704,33761,0.18,2024-10-18,approved
65357,2792,17,62464,7.4,52,702,28262,0.2,2024-03-06,rejected
65358,2312,4,24791,7.12,53,594,31603,0.24,2023-05-31,rejected
65359,9334,5,95254,9.54,25,636,37592,0.55,2024-12-10,rejected
65360,2608,19,10997,7.53,21,609,60025,0.33,2024-02-28,approved
65361,2298,19,12986,13.5,21,768,68033,0.42,2023-07-03,approved
65362,5894,16,239303,7.95,77,591,48777,0.22,2024-11-05,rejected
65363,9110,1,11836,11.38,21,815,50662,0.41,2024-09-10,approved
65364,3703,12,7840,4.95,20,598,49190,0.52,2025-02-05,rejected
65365,6331,4,25740,7.13,116,657,17112,0.14,2024-02-15,rejected
65366,1989,16,99430,7.14,25,616,42402,0.16,2023-08-02,approved
65367,9134,10,4406,10.47,14,714,73552,0.19,2023-08-13,approved
65368,4627,1,13455,6.37,59,655,57375,0.38,2022-04-03,rejected
65369,947,19,12123,12.16,20,702,65039,0.57,2023-06-12,approved
65370,3188,8,26550,7.7,171,700,8826,0.26,2024-08-29,approved
65371,6449,8,42946,6.93,152,638,37855,0.12,2024-08-30,approved
65372,1756,17,160371,6.55,18,662,69254,0.46,2024-11-14,rejected
65373,7610,11,42501,8.72,41,689,79614,0.55,2023-04-06,approved
65374,3064,16,118188,7.34,46,620,42650,0.52,2024-07-08,approved
65375,3019,19,14684,12.27,14,695,23970,0.16,2024-06-01,approved
65376,8066,14,15249,7.83,25,822,72714,0.36,2022-09-22,approved
65377,805,1,18821,10.52,37,580,23820,0.24,2022-07-16,rejected
65378,333,2,42679,4.75,57,627,69839,0.21,2022-04-22,approved
65379,4546,10,3568,9.83,6,776,27965,0.31,2024-11-27,approved
65380,8123,20,1176,12.42,28,627,40615,0.45,2024-10-25,rejected
65381,4801,18,31167,3.45,12,657,99421,0.33,2023-09-01,approved
65382,232,1,19594,10.94,29,662,78292,0.59,2024-04-17,approved
65383,9234,18,45230,3.0,16,654,24651,0.33,2024-02-13,rejected
65384,7654,5,60695,10.52,74,654,55666,0.11,2024-11-06,rejected
65385,9944,16,408939,6.57,73,686,79601,0.23,2023-09-22,approved
65386,8116,15,124693,2.11,312,677,31518,0.47,2022-10-26,approved
65387,9676,5,112420,5.3,111,748,39348,0.37,2023-09-10,approved
65388,1363,11,35416,11.88,29,676,51159,0.45,2023-01-28,rejected
65389,3515,1,12745,7.67,21,689,54143,0.26,2024-09-22,approved
65390,7947,10,2461,16.37,34,624,15146,0.33,2022-04-16,rejected
65391,5836,3,460587,3.63,287,649,35119,0.59,2022-03-29,rejected
65392,857,15,459382,4.72,320,670,28968,0.52,2022-12-27,rejected
65393,7688,9,165668,3.64,260,782,76923,0.26,2024-07-04,approved
65394,1308,20,5936,9.58,44,681,58332,0.1,2024-08-02,rejected
65395,4104,19,11104,9.57,21,690,75504,0.58,2024-10-01,approved
65396,6905,7,199206,7.89,102,829,19479,0.17,2022-04-20,rejected
65397,2674,20,12175,8.74,42,632,50928,0.36,2023-03-06,rejected
65398,2665,15,116106,2.6,64,715,94731,0.3,2023-01-01,approved
65399,1590,15,243452,2.09,274,591,33378,0.3,2022-08-20,rejected
65400,9293,7,111478,6.2,63,638,48295,0.11,2023-03-10,rejected
65401,5523,5,73019,9.49,69,614,88924,0.44,2023-04-03,approved
65402,1578,11,45691,9.49,52,701,36752,0.26,2024-03-25,approved
65403,9621,11,43106,9.16,17,612,40699,0.37,2023-11-09,approved
65404,3227,17,68403,9.14,29,624,42384,0.36,2025-02-23,approved
65405,3992,7,103555,8.27,65,726,51287,0.59,2022-05-07,approved
65406,1859,4,29739,6.55,73,720,46685,0.11,2022-07-27,approved
65407,4219,10,4594,11.61,19,729,43275,0.5,2023-11-29,approved
65408,8964,13,5621,7.03,15,675,65893,0.3,2022-10-01,approved
65409,7203,15,356140,2.73,223,720,42346,0.23,2022-04-27,approved
65410,3344,20,6786,11.81,12,677,25763,0.18,2023-03-21,rejected
65411,4615,7,145995,8.14,80,658,39910,0.29,2022-10-25,rejected
65412,8021,17,193933,6.74,27,616,96858,0.11,2025-02-26,rejected
65413,4553,4,35023,8.67,93,631,43029,0.52,2023-08-30,approved
65414,7472,1,26687,6.12,40,687,62304,0.12,2022-12-14,approved
65415,3079,10,1946,16.44,27,737,26052,0.31,2022-09-22,rejected
65416,9714,15,316763,4.02,255,628,77830,0.43,2024-03-16,approved
65417,2879,12,18425,8.48,27,711,70354,0.19,2025-01-12,approved
65418,4898,9,518118,4.14,309,601,58580,0.34,2024-04-19,rejected
65419,2915,5,154294,11.16,93,609,13737,0.14,2023-05-05,rejected
65420,8645,11,17192,8.11,17,619,76178,0.11,2024-07-27,approved
65421,4842,8,16289,5.38,171,713,38364,0.28,2023-10-16,approved
65422,9021,16,310322,5.6,59,743,82325,0.39,2022-09-15,approved
65423,6140,4,11092,7.14,64,685,75727,0.1,2023-03-11,rejected
65424,4795,8,28894,7.74,238,626,57624,0.2,2023-07-07,rejected
65425,3053,3,386179,3.54,261,643,39032,0.52,2022-08-10,rejected
65426,2271,19,12619,7.25,10,598,69530,0.32,2023-05-19,rejected
65427,7573,6,105531,12.75,24,668,48400,0.51,2024-08-10,rejected
65428,2908,17,94381,6.55,41,589,70550,0.14,2023-05-07,rejected
65429,4971,2,15256,5.36,62,774,79667,0.55,2024-11-23,approved
65430,4627,8,12172,5.26,117,655,57375,0.18,2024-09-09,rejected
65431,2316,20,34057,5.86,42,650,46432,0.31,2022-03-31,rejected
65432,8905,4,24872,4.57,99,627,56333,0.4,2022-10-29,rejected
65433,2903,13,4086,15.07,18,659,58890,0.56,2022-11-26,approved
65434,4175,4,14026,9.39,95,653,43717,0.48,2025-03-24,approved
65435,1638,16,178172,6.64,36,695,62480,0.43,2022-04-14,rejected
65436,2154,11,24726,7.09,43,664,51076,0.1,2023-09-03,rejected
65437,4604,13,4897,12.81,22,671,88752,0.24,2023-09-10,rejected
65438,8787,17,17062,6.75,53,639,57788,0.33,2024-03-07,approved
65439,5795,11,9524,7.94,47,733,36275,0.4,2024-12-08,rejected
65440,7485,13,9904,6.84,10,688,37619,0.25,2023-12-26,rejected
65441,2627,17,22218,7.21,55,661,78306,0.34,2022-08-26,approved
65442,588,5,137382,11.26,110,702,64488,0.44,2023-12-05,approved
65443,3359,5,46470,5.26,103,642,10331,0.35,2022-05-13,rejected
65444,594,18,18229,3.33,17,682,50710,0.26,2024-02-20,approved
65445,3577,13,2619,7.22,7,733,46002,0.36,2024-05-07,approved
65446,1821,18,47210,5.15,22,645,47811,0.14,2024-02-03,rejected
65447,8315,4,22937,8.85,32,713,32491,0.22,2024-01-30,rejected
65448,4598,4,26454,9.85,100,686,17032,0.43,2024-04-05,rejected
65449,1074,11,30427,5.82,47,710,55846,0.57,2024-08-14,rejected
65450,5873,6,30527,11.17,56,680,44192,0.38,2024-11-19,approved
65451,5907,11,35852,7.58,19,664,53404,0.38,2023-12-06,approved
65452,7926,10,3105,15.98,9,673,41104,0.14,2023-12-07,rejected
65453,3980,10,3781,14.74,27,670,53257,0.19,2024-06-07,approved
65454,4401,15,87274,2.66,141,789,27335,0.24,2022-12-22,rejected
65455,2944,20,20831,9.8,21,732,60592,0.14,2022-11-28,approved
65456,4365,10,3674,8.42,13,648,50405,0.12,2022-04-20,approved
65457,2765,9,435303,4.29,129,752,29577,0.47,2022-05-24,rejected
65458,6317,6,23372,13.29,14,682,63202,0.45,2023-05-02,approved
65459,3291,18,40835,4.72,13,682,71539,0.54,2023-05-03,rejected
65460,4951,20,24561,5.22,59,679,53504,0.32,2022-10-19,rejected
65461,5387,14,26166,6.74,25,710,57761,0.23,2023-03-16,approved
65462,3940,4,25098,9.42,98,715,67912,0.54,2023-11-20,rejected
65463,4053,4,8664,5.81,34,659,48621,0.34,2023-04-25,rejected
65464,55,12,17822,7.05,46,752,21155,0.36,2024-09-08,approved
65465,2891,2,47325,6.8,61,711,83191,0.12,2023-01-27,approved
65466,2879,16,469811,6.93,97,711,70354,0.4,2024-10-27,approved
65467,3946,4,32365,8.3,76,669,73588,0.45,2022-10-15,approved
65468,414,15,278637,2.9,298,779,69806,0.34,2023-11-25,approved
65469,3315,15,443550,2.53,160,739,57081,0.14,2024-06-11,rejected
65470,2143,20,24829,11.59,17,603,64597,0.51,2023-10-03,approved
65471,6717,13,5764,13.46,20,686,53168,0.45,2024-12-08,rejected
65472,2172,4,7646,7.19,38,645,46252,0.33,2024-10-08,approved
65473,4598,16,162442,5.72,53,686,17032,0.28,2023-02-24,approved
65474,763,12,23123,8.81,37,737,50443,0.25,2022-09-09,rejected
65475,5457,11,43271,6.92,33,657,61949,0.52,2023-08-23,approved
65476,4571,13,1693,9.15,9,631,53872,0.39,2024-02-08,approved
65477,2815,11,33110,12.36,19,756,44820,0.46,2023-08-05,approved
65478,3739,1,26632,12.96,48,665,58983,0.18,2024-01-31,approved
65479,3300,17,164772,8.18,32,707,24873,0.36,2022-10-13,rejected
65480,87,1,2542,5.16,26,671,67494,0.4,2024-09-09,approved
65481,4990,2,23631,6.72,76,654,58274,0.58,2024-02-15,rejected
65482,5511,16,387283,5.09,65,687,65227,0.32,2023-03-28,approved
65483,1951,5,115258,11.45,80,710,84186,0.4,2024-07-12,approved
65484,8827,15,258213,2.44,107,615,41523,0.53,2023-05-17,rejected
65485,8699,1,27592,6.28,36,682,76285,0.25,2022-05-14,approved
65486,5232,15,236190,2.69,192,686,69218,0.44,2023-11-21,approved
65487,8739,16,149992,4.78,37,642,54674,0.5,2023-04-04,approved
65488,9026,3,438133,2.97,256,644,65851,0.55,2024-11-22,rejected
65489,1807,18,6275,4.72,19,652,65607,0.38,2023-12-02,rejected
65490,3840,10,3417,14.89,18,640,52274,0.57,2023-10-30,rejected
65491,7046,10,4593,7.93,23,697,60514,0.35,2024-11-22,approved
65492,8797,14,9295,5.33,31,716,42332,0.44,2023-06-15,approved
65493,602,4,31263,8.06,109,631,39379,0.29,2024-12-22,rejected
65494,6262,10,3437,14.1,13,722,54061,0.37,2023-07-11,approved
65495,5230,18,11456,4.2,49,669,54379,0.38,2023-12-05,rejected
65496,9276,14,23062,11.67,35,786,46223,0.49,2024-05-21,rejected
65497,7012,12,16090,5.53,17,686,72744,0.27,2024-03-19,rejected
65498,8632,6,148194,8.15,49,700,88367,0.43,2024-01-11,rejected
65499,5993,15,356393,2.36,291,758,44634,0.33,2024-11-22,approved
65500,5509,4,26557,7.63,49,627,89167,0.11,2022-06-09,approved
65501,7546,4,12615,6.02,29,673,52609,0.17,2022-05-11,rejected
65502,590,16,269331,6.44,80,626,32415,0.42,2025-01-30,approved
65503,4468,2,19131,5.78,27,691,59519,0.22,2024-12-19,approved
65504,4924,16,382723,8.37,53,675,42701,0.34,2023-06-13,rejected
65505,6737,13,4984,13.53,9,688,44234,0.17,2024-11-20,rejected
65506,9997,16,496628,6.78,94,695,53115,0.53,2025-03-18,approved
65507,742,10,958,12.75,25,580,40449,0.4,2025-03-05,rejected
65508,6411,8,13150,4.24,165,740,-6332,0.36,2023-06-08,approved
65509,2038,7,239708,4.66,79,676,66825,0.28,2024-09-13,rejected
65510,6962,13,5212,11.19,11,675,92428,0.15,2022-11-09,approved
65511,8403,4,32300,7.64,44,700,63599,0.37,2023-11-05,rejected
65512,3986,19,11554,6.68,15,652,11141,0.34,2024-05-07,rejected
65513,3735,3,439369,4.94,302,672,26202,0.31,2024-01-31,approved
65514,908,8,27818,4.03,189,692,30970,0.52,2023-09-01,approved
65515,8747,19,12474,10.26,20,685,97530,0.33,2024-10-28,approved
65516,6279,18,6101,3.18,36,737,36082,0.23,2022-09-12,approved
65517,6211,15,283584,2.87,93,688,62315,0.51,2022-07-16,rejected
65518,8238,18,10172,3.86,12,612,25701,0.49,2023-09-11,rejected
65519,970,13,6966,8.29,10,725,33869,0.54,2024-06-19,approved
65520,9938,6,70718,13.62,25,710,28186,0.32,2023-09-29,rejected
65521,3192,19,11588,12.02,9,695,15976,0.38,2023-04-29,rejected
65522,3216,6,87856,10.66,12,674,65084,0.28,2023-01-07,approved
65523,6869,10,2164,12.35,6,747,77694,0.41,2023-12-12,approved
65524,6698,7,111166,7.2,50,718,57398,0.17,2022-04-08,rejected
65525,8558,17,85023,6.77,25,741,52458,0.33,2023-10-12,approved
65526,8522,1,14121,14.33,21,643,39562,0.42,2025-02-17,approved
65527,6901,13,1919,15.23,23,680,41761,0.2,2022-04-28,rejected
65528,5319,16,492783,6.83,37,651,49262,0.29,2023-09-17,approved
65529,2085,13,5169,14.22,15,726,26157,0.24,2022-09-17,rejected
65530,6744,20,13058,10.87,43,672,88602,0.21,2024-11-13,approved
65531,287,12,36922,9.41,38,673,63791,0.59,2024-05-24,rejected
65532,1972,5,85791,7.53,16,700,41580,0.36,2024-07-14,approved
65533,7938,17,28791,5.9,57,760,51019,0.22,2022-07-12,approved
65534,2657,20,15824,9.78,40,666,40810,0.49,2023-08-29,rejected
65535,5236,9,966417,4.49,348,738,21516,0.39,2023-08-24,rejected
65536,2371,14,17278,8.98,26,664,51135,0.24,2024-01-08,approved
65537,3017,1,21925,7.64,12,688,38080,0.19,2022-09-20,rejected
65538,7869,5,38035,7.19,86,627,65908,0.24,2024-07-19,approved
65539,4990,14,3842,10.89,17,654,58274,0.58,2024-02-19,approved
65540,6685,14,4199,10.31,31,626,43703,0.38,2022-08-25,rejected
65541,7657,3,204632,3.56,170,589,50276,0.5,2022-05-31,rejected
65542,7458,3,214437,3.81,243,744,60823,0.23,2025-02-20,rejected
65543,4135,7,55058,7.03,56,741,44663,0.56,2024-01-12,approved
65544,8126,11,44108,9.11,42,619,18488,0.17,2025-01-05,rejected
65545,426,7,145389,5.89,24,714,56835,0.39,2025-03-14,approved
65546,9468,7,216086,6.37,66,681,29857,0.51,2023-01-17,rejected
65547,48,3,410647,2.57,272,624,38551,0.33,2025-03-25,approved
65548,1362,9,606603,3.85,149,735,56932,0.28,2023-07-28,rejected
65549,6998,15,498906,2.16,303,725,22223,0.12,2024-08-01,rejected
65550,4859,17,192296,6.2,40,760,69766,0.29,2023-07-09,rejected
65551,3120,16,291225,5.92,93,676,46803,0.33,2025-02-26,approved
65552,7451,14,25133,11.84,21,647,38576,0.22,2023-11-13,rejected
65553,5553,1,6337,13.21,53,744,60289,0.12,2024-10-17,approved
65554,5016,2,19553,7.62,81,624,86630,0.19,2022-04-06,approved
65555,521,6,128368,7.94,77,685,30426,0.24,2024-01-11,rejected
65556,6565,8,26926,7.37,216,495,29082,0.28,2024-01-13,rejected
65557,7443,1,17569,6.82,45,650,41571,0.47,2022-04-01,rejected
65558,2220,4,19294,5.25,81,751,87610,0.48,2024-02-09,approved
65559,9673,12,15809,7.47,40,640,66939,0.43,2022-08-25,rejected
65560,7286,5,161080,10.36,35,720,56597,0.49,2022-04-10,rejected
65561,7864,8,9294,5.87,172,643,46363,0.52,2023-12-31,rejected
65562,5223,14,23456,11.17,17,672,38509,0.45,2024-10-22,rejected
65563,8901,13,4724,9.84,10,644,63543,0.29,2024-05-20,approved
65564,7040,10,3182,12.88,30,681,51089,0.39,2022-07-03,rejected
65565,3209,19,10254,14.91,10,737,61165,0.52,2023-10-30,approved
65566,2340,10,4441,8.26,19,673,67079,0.57,2022-08-16,approved
65567,5983,15,204080,3.09,230,666,41227,0.37,2023-08-22,rejected
65568,2537,3,294893,3.96,194,592,60854,0.37,2024-06-25,rejected
65569,9815,13,8441,10.46,19,667,50140,0.52,2024-03-28,rejected
65570,8083,19,9831,9.12,6,711,62098,0.3,2023-02-18,approved
65571,5554,6,34891,13.52,81,684,55921,0.38,2025-02-12,approved
65572,8877,4,23417,7.6,117,629,58226,0.51,2024-12-11,rejected
65573,1021,19,3299,11.99,16,626,12401,0.44,2024-04-04,rejected
65574,7381,3,381903,3.38,185,650,26718,0.49,2023-03-15,rejected
65575,4998,10,543,10.02,29,656,74507,0.45,2023-06-04,approved
65576,7546,2,44264,6.95,24,673,52609,0.34,2024-10-25,rejected
65577,358,9,300302,3.99,140,693,71944,0.25,2024-01-06,approved
65578,6713,3,177335,4.91,288,636,11757,0.32,2022-04-26,rejected
65579,252,3,395457,4.11,349,690,52331,0.41,2024-12-10,rejected
65580,5884,18,6492,4.83,34,655,45497,0.56,2023-07-19,approved
65581,4483,18,27751,6.11,40,705,10826,0.11,2024-06-04,rejected
65582,3186,2,40126,6.93,80,660,33358,0.13,2025-02-09,rejected
65583,7277,4,15733,7.96,43,732,77375,0.32,2022-05-30,rejected
65584,3908,11,25253,10.87,19,717,64488,0.48,2024-05-05,rejected
65585,844,17,180888,5.52,18,624,29112,0.24,2024-02-19,rejected
65586,9736,5,111851,9.9,95,697,66691,0.15,2023-06-26,approved
65587,3673,11,49018,5.23,47,729,66676,0.29,2023-12-03,approved
65588,1444,6,139503,10.89,28,667,48176,0.45,2022-11-15,approved
65589,6711,3,462013,3.51,327,634,27315,0.46,2022-04-08,rejected
65590,7875,12,15627,5.75,30,685,50327,0.47,2024-01-15,rejected
65591,7545,12,19915,7.27,44,703,60471,0.29,2022-08-14,rejected
65592,5879,6,142354,11.02,50,675,40723,0.12,2023-02-08,approved
65593,8925,1,13542,12.05,44,697,76945,0.13,2024-04-17,rejected
65594,4346,15,40039,4.11,312,687,92270,0.21,2023-08-16,approved
65595,2272,3,451389,2.63,177,649,91129,0.14,2024-05-21,approved
65596,2028,9,312353,3.72,262,686,57111,0.27,2024-07-19,rejected
65597,5430,18,11854,5.83,45,719,19857,0.38,2024-05-13,rejected
65598,3277,4,18681,6.16,34,831,41983,0.2,2024-07-06,rejected
65599,8237,18,24759,3.94,56,658,59658,0.35,2022-12-12,approved
65600,4397,11,19983,14.95,47,697,47109,0.29,2024-07-05,approved
65601,268,12,24836,9.93,47,623,62883,0.19,2024-03-19,approved
65602,5079,13,6209,8.19,15,699,56586,0.57,2023-03-25,rejected
65603,3041,19,14230,9.6,11,668,41167,0.38,2024-03-06,approved
65604,396,16,99822,7.83,57,607,66098,0.27,2023-11-28,rejected
65605,9882,12,10845,9.56,39,723,40052,0.29,2025-01-05,rejected
65606,5804,2,23998,4.43,28,652,62877,0.33,2025-02-12,approved
65607,3583,2,20052,5.2,48,677,42982,0.48,2025-03-25,approved
65608,3939,12,33151,8.88,29,649,62522,0.54,2024-01-22,approved
65609,9227,10,555,8.64,25,571,63287,0.38,2024-05-27,rejected
65610,3595,2,33641,3.55,77,697,54910,0.46,2023-04-04,approved
65611,3341,16,163051,7.29,113,677,81257,0.56,2024-12-16,approved
65612,4379,12,27326,9.68,12,766,47591,0.28,2024-02-08,approved
65613,3255,6,48619,9.22,20,690,21747,0.2,2023-05-20,rejected
65614,3205,3,210761,2.79,357,666,90466,0.11,2023-07-31,approved
65615,7562,9,303929,4.6,333,600,87296,0.53,2022-12-21,rejected
65616,8449,2,44491,4.27,35,689,62090,0.43,2024-10-06,approved
65617,7890,13,7937,15.67,23,606,48707,0.17,2022-07-22,approved
65618,6557,10,2242,9.21,26,608,69464,0.21,2024-12-05,rejected
65619,1147,2,32738,3.86,80,709,26911,0.17,2022-12-04,rejected
65620,7527,6,56098,13.84,74,683,90787,0.26,2023-03-06,approved
65621,7698,14,26913,6.77,18,692,25502,0.55,2024-08-03,approved
65622,529,16,290364,5.97,63,658,39879,0.57,2024-03-30,rejected
65623,2867,16,152648,6.07,38,599,25567,0.3,2024-10-25,rejected
65624,6749,1,25628,8.57,22,662,28057,0.16,2022-09-14,approved
65625,3636,2,44218,7.44,73,666,42206,0.14,2025-02-12,rejected
65626,2946,4,35370,6.58,31,710,86333,0.17,2024-06-16,rejected
65627,8359,14,11843,6.93,30,522,21775,0.26,2024-02-29,rejected
65628,3573,16,250030,6.8,94,754,48739,0.13,2025-01-02,approved
65629,6808,17,20657,9.91,37,672,42089,0.2,2024-06-10,approved
65630,4925,10,1085,12.78,30,660,56024,0.3,2023-08-09,rejected
65631,62,16,99986,7.81,104,713,55358,0.34,2023-02-24,rejected
65632,284,8,32201,4.47,162,644,62749,0.41,2022-07-11,rejected
65633,9013,8,34759,6.53,148,627,37845,0.5,2022-07-19,approved
65634,2689,1,25544,14.91,22,804,12501,0.23,2023-01-09,approved
65635,5348,6,121309,12.0,59,607,58776,0.52,2024-10-29,approved
65636,7482,9,976605,4.84,213,660,53327,0.29,2022-08-28,rejected
65637,9146,17,42305,7.28,33,664,67948,0.42,2024-02-28,approved
65638,5540,7,88260,8.48,66,704,45618,0.55,2023-04-06,rejected
65639,4287,6,45881,7.74,53,668,87533,0.33,2024-08-17,approved
65640,6019,10,4200,14.59,28,664,54654,0.28,2024-02-25,rejected
65641,1464,2,11681,5.09,79,730,54222,0.52,2022-04-12,rejected
65642,6748,2,30156,3.48,61,769,50119,0.13,2024-07-19,approved
65643,8063,11,16850,8.12,33,651,66724,0.13,2023-10-19,approved
65644,3520,18,24070,6.03,48,674,50658,0.46,2024-08-20,rejected
65645,8554,15,245185,2.84,70,719,74585,0.13,2023-06-25,approved
65646,7955,14,17312,10.44,23,704,79462,0.14,2022-07-21,approved
65647,2051,20,20883,5.54,53,701,36886,0.37,2025-03-07,approved
65648,4426,4,35689,5.84,94,745,62008,0.19,2022-05-03,approved
65649,3921,15,273974,4.29,79,656,70946,0.58,2023-03-12,approved
65650,9673,13,7086,14.68,8,640,66939,0.44,2024-06-29,rejected
65651,2703,19,3413,11.98,16,679,50569,0.51,2023-03-26,approved
65652,782,17,193673,7.76,23,720,55112,0.5,2023-01-31,rejected
65653,8900,19,14763,8.76,15,716,73800,0.32,2025-02-19,rejected
65654,1033,5,144727,6.81,85,645,20621,0.3,2023-10-22,rejected
65655,4114,8,21382,5.94,155,697,65328,0.18,2023-01-22,rejected
65656,1473,9,598069,3.87,160,722,57525,0.46,2023-12-19,rejected
65657,1496,15,349723,2.92,302,659,34635,0.58,2023-05-02,approved
65658,1165,5,69041,10.34,41,700,45660,0.59,2023-07-02,approved
65659,8271,3,333938,2.9,256,724,96868,0.22,2025-01-14,rejected
65660,6954,1,9256,5.15,25,658,43939,0.36,2024-10-31,rejected
65661,7752,10,3147,10.74,35,652,66401,0.54,2023-06-07,rejected
65662,9724,2,43214,3.09,63,622,46569,0.26,2022-06-27,rejected
65663,2830,7,108637,5.98,59,681,26360,0.15,2024-11-27,rejected
65664,7751,8,44799,7.88,209,641,17926,0.24,2024-06-08,rejected
65665,7429,15,454844,4.93,81,714,75546,0.27,2024-06-23,approved
65666,1021,3,172867,4.17,135,626,12401,0.29,2023-10-03,rejected
65667,827,20,15409,7.89,26,761,32902,0.27,2024-07-16,rejected
65668,3929,15,82711,3.21,346,695,25382,0.22,2022-07-06,approved
65669,2124,4,36855,6.1,72,713,50853,0.34,2023-12-21,rejected
65670,9380,2,49781,5.09,36,710,50223,0.36,2024-07-09,rejected
65671,6914,6,59069,13.64,74,716,51538,0.58,2022-04-25,approved
65672,718,4,17613,9.78,48,690,60920,0.5,2022-08-26,rejected
65673,376,17,150567,7.69,42,611,62344,0.3,2023-06-09,rejected
65674,2160,3,204500,3.95,356,611,60480,0.55,2022-10-07,rejected
65675,8185,4,31128,9.08,84,686,67686,0.47,2022-05-18,rejected
65676,1125,20,31303,9.0,12,715,32394,0.36,2022-07-17,rejected
65677,2111,20,42288,14.09,24,766,-4959,0.21,2024-07-21,approved
65678,8890,20,46911,8.65,35,677,43217,0.38,2022-09-24,rejected
65679,4477,1,4398,6.51,28,742,64624,0.37,2024-05-24,approved
65680,2508,3,346530,3.67,345,742,66834,0.45,2024-05-20,rejected
65681,4840,11,49413,13.83,44,615,68228,0.11,2023-11-15,rejected
65682,6538,8,22649,6.26,233,626,19630,0.51,2024-02-20,rejected
65683,3533,16,341573,7.53,104,696,52861,0.36,2024-07-20,rejected
65684,2948,5,81024,10.43,74,631,39632,0.57,2023-05-28,approved
65685,7902,14,22307,9.24,15,659,64292,0.22,2024-12-26,rejected
65686,9272,17,99749,8.78,24,686,45113,0.15,2024-01-21,approved
65687,5869,8,48894,7.07,218,714,20326,0.47,2024-10-18,approved
65688,5891,11,13707,7.25,40,770,44197,0.38,2024-10-05,approved
65689,3060,14,8098,5.63,16,615,41674,0.27,2023-04-22,rejected
65690,6627,14,18421,9.5,19,764,91032,0.21,2022-03-28,approved
65691,7817,14,7786,8.75,26,691,93791,0.3,2023-05-24,rejected
65692,1307,10,3638,10.15,21,757,40775,0.17,2024-09-11,approved
